English	Polish
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolin
Gaetano Donizetti	Gaetano Donizetti
Gaia (mythology)	Gaja (mitologia)
Galatia	Galacja
Galaxy	Galaktyka
Galen	Galen
Galena	Galena
Galicia (Central Europe)	Galicja
Galicia (Spain)	Galicia
Galilee	Galilea
Galileo (spacecraft)	Galileo (sonda)
Galileo Galilei	Galileusz
Gallbladder	Pęcherzyk żółciowy
Galley	Galera
Galliformes	Grzebiące
Galliformes	Kategoria:Grzebiące
Gallium	Gal
Gallon	Galon (miara)
Galway	Galway
Gamal Abdel Nasser	Gamal Abdel Naser
Gambling	Gry hazardowe
Game	Gra
Game theory	Teoria gier
Gamma	Gamma
Gamma ray	Promieniowanie gamma
Ganesha	Ganeśa
Ganges	Ganges
Ganja	Gandża
Gansu	Gansu
Ganymede	Ganimedes (mitologia)
Ganymede (moon)	Ganimedes (księżyc)
Gap	Gap
Garden	Sad
Garden of Eden	Eden (raj)
Gardening	Ogrodnictwo
Garfield	Garfield
Gargoyle	Rzygacz
Garlic	Czosnek pospolity
Garnet	Granat (minerał)
Garonne	Garonna
Gas	Gaz
Gas constant	Stała gazowa
Gas giant	Gazowy olbrzym
Gasoline	Benzyna
Gastrointestinal tract	Układ pokarmowy człowieka
Gastropoda	Ślimaki
Gaul	Galia
Gautama Buddha	Budda Siakjamuni
Gay	Gej
Gaza	Gaza (Palestyna)
Gaza Strip	Strefa Gazy
Gear	Koło zębate
Geb	Geb
Geisha	Gejsza
Gemini (constellation)	Bliźnięta (gwiazdozbiór)
Gemstone	Kamienie szlachetne
Gene	Gen
Genealogy	Genealogia
Genealogy	Kategoria:Genealogia
General Agreement on Tariffs and Trade	GATT
General Officer	Generał
General relativity	Ogólna teoria względności
Genesis	Księga Rodzaju
Genetic code	Kod genetyczny
Genetic engineering	Inżynieria genetyczna
Genetics	Genetyka
Genetics	Kategoria:Genetyka
Geneva	Genewa
Genitive case	Dopełniacz (przypadek)
Genoa	Genua
Genocide	Ludobójstwo
Genome	Genom
Genotype	Genotyp
Genus	Rodzaj (biologia)
Geochemistry	Geochemia
Geodesy	Geodezja
Geodesy	Kategoria:Geodezja
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Geografia
Geography	Kategoria:Geografia
Geography	Portal:Geografia
Geology	Kategoria:Geologia
Geology	Geologia
Geometric progression	Szereg geometryczny
Geometry	Geometria
Geometry	Kategoria:Geometria
Geomorphology	Geomorfologia
Geomorphology	Kategoria:Geomorfologia
Geophysics	Geofizyka
Geophysics	Kategoria:Geofizyka
Geopolitics	Geopolityka
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Marshall
George Orwell	George Orwell
George Paget Thomson	George Thomson
George Sand	George Sand
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georges Simenon	Georges Simenon
Georgetown	Georgetown (Gujana)
Georgia (U.S. state)	Georgia
Georgia (U.S. state)	Kategoria:Georgia
Georgia (country)	Gruzja
Georgia (country)	Kategoria:Gruzja
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
German Shepherd Dog	Owczarek niemiecki
German language	Język niemiecki
German language	Kategoria:Język niemiecki
German mark	Marka niemiecka
Germanium	German
Germany	Niemcy
Germany	Kategoria:Niemcy
Geronimo	Geronimo (wódz Indian Chiricahua)
Gestapo	Gestapo
Geyser	Gejzer
Ghana	Ghana
Ghana	Kategoria:Ghana
Ghent	Gandawa
Ghetto	Getto
Ghost	Duch (spirytyzm)
Giacomo Puccini	Giacomo Puccini
Giant Panda	Panda wielka
Gibbon	Gibonowate
Gibraltar	Gibraltar
Gibraltar	Kategoria:Gibraltar
Gigabyte	Gigabajt
Gilgamesh	Gilgamesz
Ginger	Imbir lekarski
Ginkgo	Miłorząb dwuklapowy
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Giraffe	Żyrafa
Giraffidae	Żyrafowate
Girolamo Savonarola	Girolamo Savonarola
Gironde	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Glacier	Lodowiec
Gladiator	Gladiator
Gland	Gruczoł
Glasgow	Glasgow
Glasnost	Głasnost
Glass	Szkło
Glasses	Okulary korekcyjne
Glider	Szybowiec
Global Positioning System	Global Positioning System
Global warming	Globalne ocieplenie
Globalization	Globalizacja
Globe artichoke	Karczoch zwyczajny
Gloucestershire	Gloucestershire
Glucagon	Glukagon
Glucose	Glukoza
Gluon	Gluon
Glutamic acid	Kwas glutaminowy
Glycerol	Gliceryna
Glycine	Glicyna
Glycogen	Glikogen
Glycolysis	Glikoliza
Gnathostomata	Żuchwowce
Gneiss	Gnejs
Gnosticism	Gnostycyzm
Go (board game)	Go
Goa	Goa
Goalkeeper	Bramkarz
Goat	Koza domowa
Gobi Desert	Gobi
God	Bóg
Golan Heights	Wzgórza Golan
Gold	Złoto
Golda Meir	Golda Meir
Golden Eagle	Orzeł przedni
Golden Gate Bridge	Most Golden Gate
Golden Horde	Złota Orda
Golden Retriever	Golden Retriever
Golf	Golf
Golf	Kategoria:Golf
Golgi apparatus	Aparat Golgiego
Gomel	Homel
Good Friday	Wielki Piątek
Google	Google
Google	Kategoria:Google
Googol	Googol
Gorgon	Gorgona (postać mitologiczna)
Gorilla	Goryl
Goshawk	Jastrząb gołębiarz
Gospel	Ewangelia
Gospel of Luke	Ewangelia Łukasza
Gothenburg	Göteborg
Gothic	Gothic
Gothic architecture	Architektura gotycka
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Gout	Dna moczanowa
Government	Rada Ministrów
Grace Kelly	Grace Kelly
Gradient	Gradient (matematyka)
Graffiti	Graffiti
Graham Greene	Graham Greene (pisarz)
Gram	Gram
Grammar	Gramatyka
Grammar	Kategoria:Gramatyka
Grammatical gender	Rodzaj gramatyczny
Granada	Granada (miasto w Hiszpanii)
Grand Canyon	Wielki Kanion Kolorado
Grand Slam (tennis)	Wielki Szlem (tenis)
Grandmaster (chess)	Arcymistrz
Granite	Granit
Grape	Winorośl
Grapefruit	Grejpfrut
Graphical user interface	Interfejs graficzny
Graphite	Grafit
Gravitation	Grawitacja
Gravitational constant	Stała grawitacji
Graviton	Grawiton
Gray (unit)	Grej
Gray Wolf	Wilk
Graz	Graz
Great Barrier Reef	Wielka Rafa Koralowa
Great Britain	Wielka Brytania (wyspa)
Great Crested Grebe	Perkoz dwuczuby
Great Depression	Wielki kryzys
Great Lakes	Wielkie Jeziora Północnoamerykańskie
Great Rift Valley	Wielkie Rowy Afrykańskie
Great Wall of China	Wielki Mur Chiński
Great white shark	Żarłacz biały
Greater Antilles	Wielkie Antyle
Greater London	Wielki Londyn
Greatest common divisor	Największy wspólny dzielnik
Grebe	Perkozy
Greece	Grecja
Greece	Kategoria:Grecja
Greek alphabet	Alfabet grecki
Greek alphabet	Kategoria:Alfabet grecki
Greek fire	Ogień grecki
Greek mythology	Mitologia grecka
Greek mythology	Kategoria:Mitologia grecka
Green	Barwa zielona
Greenhouse	Szklarnia (ogrodnictwo)
Greenhouse effect	Efekt cieplarniany
Greenhouse gas	Gaz cieplarniany
Greenland	Grenlandia
Greenland	Kategoria:Grenlandia
Greenland Sea	Morze Grenlandzkie
Greenpeace	Greenpeace
Greenwich	Greenwich
Greenwich Mean Time	Czas uniwersalny
Gregor Mendel	Gregor Mendel
Gregorian calendar	Kalendarz gregoriański
Grenada	Kategoria:Grenada
Grenoble	Grenoble
Greta Garbo	Greta Garbo
Grey	Szary
Greylag Goose	Gęś gęgawa
Griffin	Gryf (mitologia)
Griffon Vulture	Sęp płowy
Gross domestic product	Produkt krajowy brutto
Group	Grupa
Group (mathematics)	Grupa (matematyka)
Group (periodic table)	Grupa układu okresowego
Group theory	Teoria grup
Grover Cleveland	Grover Cleveland
Grozny	Grozny
Gruiformes	Żurawiowe
Grus (constellation)	Żuraw (gwiazdozbiór)
Guadalajara	Guadalajara (miasto w Meksyku)
Guadeloupe	Gwadelupa
Guam	Guam
Guangdong	Guangdong
Guangzhou	Kanton (Chiny)
Guanine	Guanina
Guano	Guano
Guatemala	Kategoria:Gwatemala
Guatemala City	Gwatemala (miasto)
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guild	Gildia (historia)
Guillaume Apollinaire	Guillaume Apollinaire
Guillotine	Gilotyna
Guinea	Gwinea
Guinea	Kategoria:Gwinea
Guinea pig	Świnka morska
Guinea-Bissau	Gwinea Bissau
Guinea-Bissau	Kategoria:Gwinea Bissau
Guitar	Gitara
Gujarat	Gujarat
Gulag	Gułag
Gulf Stream	Prąd Zatokowy
Gulf War	I wojna w Zatoce Perskiej
Gulf of Aden	Zatoka Adeńska
Gulf of Aqaba	Zatoka Akaba
Gulf of Bothnia	Zatoka Botnicka
Gulf of Finland	Zatoka Fińska
Gulf of Guinea	Zatoka Gwinejska
Gulf of Mexico	Zatoka Meksykańska
Gulf of Oman	Zatoka Omańska
Gulf of Riga	Zatoka Ryska
Gulf of Thailand	Zatoka Tajlandzka
Gull	Mewy
Gunpowder	Proch
Gunpowder Plot	Spisek prochowy
Guppy	Gupik
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustaw Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Guyana	Kategoria:Gujana
Gymnastics	Gimnastyka
Gymnosperm	Nagonasienne
Gynaecology	Ginekologia
Gypsum	Gips
Gyroscope	Żyroskop
H	H
H. G. Wells	Herbert George Wells
HIV	Wirus zespołu nabytego braku odporności
HTML	HTML
Habitat	Siedlisko (biologia)
Hacker	Haker (slang komputerowy)
Hadean	Hadeik
Hades	Hades
Hadith	Hadis
Hadrian	Hadrian
Hadrian's Wall	Mur Hadriana
Hadron	Hadron
Haemophilia	Hemofilia
Hafnium	Hafn
Hagia Sophia	Hagia Sofia
Haifa	Hajfa
Haiku	Haiku
Hail	Grad
Hail Mary	Zdrowaś Maryjo
Hair	Włos
Haiti	Haiti
Haiti	Kategoria:Haiti
Hajj	Pielgrzymki w islamie
Halal	Halal
Halberd	Halabarda
Half-life	Czas połowicznego rozpadu
Halle	Halle (Saale)
Halloween	Halloween
Hallucination	Halucynacja
Halogen	Fluorowce
Hamas	Hamas
Hamburg	Hamburg
Hamburg	Kategoria:Hamburg
Hamburger	Hamburger
Hamlet	Hamlet
Hammer	Młotek
Hammer and sickle	Sierp i młot
Hammurabi	Hammurabi
Hampshire	Hampshire (Anglia)
Hamster	Chomik
Han Dynasty	Dynastia Han
Hand	Dłoń
Hand grenade	Granat (broń)
Handgun	Pistolet
Hanging	Powieszenie
Hanging Gardens of Babylon	Wiszące ogrody Semiramidy
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Hanoi	Hanoi
Hanover	Hanower
Hans Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Hanza
Hanukkah	Chanuka
Hanuman	Hanuman
Happiness	Szczęście
Harare	Harare
Hardness	Twardość
Harem	Harem
Harlem	Harlem (Nowy Jork)
Harmonica	Harmonijka ustna
Harmony	Harmonika (muzyka)
Harold Pinter	Harold Pinter
Harp	Harfa
Harpsichord	Klawesyn
Harpy	Harpia (mitologia)
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg (Pensylwania)
Harry Houdini	Harry Houdini
Hartford	Hartford (Connecticut)
Hassium	Has
Hatred	Nienawiść
Haute-Normandie	Górna Normandia
Havana	Hawana
Hawaii	Hawaje (stan w USA)
Hawaii	Kategoria:Hawaje
Hazel	Leszczyna
Head	Głowa
Head of state	Głowa państwa
Health	Zdrowie
Health	Kategoria:Zdrowie
Heart	Serce
Heat	Ciepło
Heat engine	Silnik cieplny
Heaven	Niebo
Heavy metal	Kategoria:Metal
Heavy metal music	Heavy metal
Heavy water	Ciężka woda
Hebe (mythology)	Hebe (mitologia)
Hebei	Hebei
Hebrew alphabet	Alfabet hebrajski
Hebrew calendar	Kalendarz żydowski
Hebrides	Hebrydy
Hecate	Hekate (mitologia)
Hectare	Hektar
Hector	Hektor
Hector Berlioz	Hector Berlioz
Hedgehog	Jeżowate
Hedonism	Hedonizm
Heimdall	Hajmdal
Heinrich Hertz	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel (being)	Hel (bogini)
Helen	Helena Trojańska
Helen Keller	Helen Keller
Helena	Helena (Montana)
Helicopter	Śmigłowiec
Helios	Helios
Helium	Hel
Hell	Piekło
Helmut Schmidt	Helmut Schmidt
Helsinki	Helsinki
Hematite	Hematyt
Hematology	Hematologia
Hematology	Kategoria:Hematologia
Hemoglobin	Hemoglobina
Hemorrhoid	Żylaki odbytu
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henryk Ibsen
Henry (unit)	Henr
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Henry Moore	Henry Moore (rzeźbiarz)
Henry Purcell	Henry Purcell
Hepatitis	Zapalenie wątroby
Hephaestus	Hefajstos
Hera	Hera
Heracles	Herakles
Heraclitus	Heraklit
Heraldry	Heraldyka
Heraldry	Kategoria:Heraldyka
Herat	Herāt (miasto)
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Hercules	Herakles
Hercules (constellation)	Herkules (gwiazdozbiór)
Heresy	Herezja
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Hermeneutics	Hermeneutyka
Hermes	Hermes
Hero	Bohater
Hero of Alexandria	Heron z Aleksandrii
Herod the Great	Herod Wielki
Herodotus	Herodot
Heroin	Heroina
Heron	Czaplowate
Herring Gull	Mewa srebrzysta
Hertfordshire	Hertfordshire
Hertz	Herc
Hesiod	Hezjod
Hesperides	Hesperydy
Hesse	Hesja
Hesse	Kategoria:Hesja
Hestia	Hestia
Heterosexuality	Heteroseksualizm
Heterotroph	Cudzożywność
Hexadecimal	Szesnastkowy system liczbowy
Hexagon	Sześciokąt
Hezbollah	Hezbollah
Hibernation	Sen zimowy
Hideki Yukawa	Hideki Yukawa
Hieronymus Bosch	Hieronim Bosch
Hilbert space	Przestrzeń Hilberta
Himalayas	Himalaje
Hindu Kush	Hindukusz
Hinduism	Hinduizm
Hinduism	Kategoria:Hinduizm
Hipparchus	Hipparchos z Nikei
Hippie	Ruch hippisowski
Hippocrates	Hipokrates
Hippocratic Oath	Przysięga Hipokratesa
Hippopotamus	Hipopotam nilowy
Hirohito	Hirohito
Hiroshima	Hiroszima
Hispaniola	Haiti (wyspa)
Histidine	Histydyna
Histology	Histologia
Histology	Kategoria:Histologia
Histone	Histony
Historiography	Historiografia
History	Historia
History	Kategoria:Historia
History	Portal:Historia
Ho Chi Minh	Hồ Chí Minh
Ho Chi Minh City	Ho Chi Minh (miasto)
Hobart	Hobart
Hobbit	Hobbit (rasa)
Hobby	Hobby
Hokusai	Katsushika Hokusai
Holiday	Święto
Hollywood	Hollywood
Holmium	Holm (pierwiastek)
Holocene	Holocen
Holography	Holografia
Holy Grail	Graal
Holy Roman Empire	Święte Cesarstwo Rzymskie Narodu Niemieckiego
Holy Spirit	Duch Święty
Homeopathy	Homeopatia
Homeostasis	Homeostaza
Homer	Homer
Hominidae	Człowiekowate
Homo (genus)	Człowiek
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonym	Homonim
Homophobia	Homofobia
Homosexuality	Homoseksualizm
Honduras	Honduras
Honduras	Kategoria:Honduras
Honey	Miód
Honey Buzzard	Trzmielojad
Hong Kong	Hongkong
Hong Kong	Kategoria:Hongkong
Honiara	Honiara
Honolulu	Honolulu
Hookah	Szisza
Hooke's law	Prawo Hooke'a
Hoopoe	Dudek
Horace	Horacy (poeta)
Horatio Nelson	Horatio Nelson
Horizon	Horyzont
Hormone	Hormon
Horn (anatomy)	Róg (biologia)
Horn (instrument)	Róg (instrument muzyczny)
Horoscope	Horoskop
Horse	Koń
Horsepower	Koń parowy
Horus	Horus
Hosni Mubarak	Hosni Mubarak
Hospital	Szpital
Hotel	Hotel
Hour	Godzina
Hourglass	Klepsydra
House	Dom
House (TV series)	Dr House
House Mouse	Mysz domowa
House Sparrow	Wróbel domowy
Houston	Houston
Hovercraft	Poduszkowiec
Howard Carter (archaeologist)	Howard Carter
Hubble's law	Prawo Hubble'a
Hudson Bay	Zatoka Hudsona
Hudson River	Hudson (rzeka)
Hugh Capet	Hugo Kapet
Hugo Grotius	Hugo Grocjusz
Huguenot	Hugenoci
Human	Człowiek rozumny
Humanism	Humanizm
Humanities	Kategoria:Nauki humanistyczne
Humerus	Kość ramienna
Humidity	Wilgotność powietrza
Hummingbird	Kolibry
Humor	Kategoria:Humor
Humour	Humor (postać komizmu)
Humpback Whale	Humbak
Humphrey Bogart	Humphrey Bogart
Humus	Próchnica (gleba)
Hunan	Hunan
Hundred Years' War	Wojna stuletnia
Hungary	Węgry
Hungary	Kategoria:Węgry
Hunger	Głód
Hunting	Polowanie
Hutu	Hutu
Hybrid	Hybryda (biologia)
Hyderabad	Hajdarabad (Indie)
Hydra (constellation)	Hydra (gwiazdozbiór)
Hydrocarbon	Węglowodór
Hydrochloric acid	Kwas solny
Hydroelectricity	Elektrownia wodna
Hydrogen	Wodór
Hydrogen bond	Wiązanie wodorowe
Hydrogen cyanide	Cyjanowodór
Hydrogen peroxide	Nadtlenek wodoru
Hydrology	Hydrologia
Hydrology	Kategoria:Hydrologia
Hydrolysis	Hydroliza
Hydrosphere	Hydrosfera
Hydroxide	Jon wodorotlenowy
Hydrus	Wąż Wodny (gwiazdozbiór)
Hyena	Hienowate
Hygiene	Kategoria:Higiena
Hymen	Błona dziewicza
Hymenoptera	Kategoria:Błonkoskrzydłe
Hymenoptera	Błonkoskrzydłe
Hymn	Hymn
Hyperbola	Hiperbola (matematyka)
Hyperbole	Hiperbola (teoria literatury)
Hyperion (moon)	Hyperion (księżyc)
Hyperion (mythology)	Hyperion (mitologia)
Hypertension	Nadciśnienie tętnicze
Hypertext	Hipertekst
Hypertext Transfer Protocol	Hypertext Transfer Protocol
Hypnos	Hypnos
Hypnosis	Hipnoza
Hypothalamus	Podwzgórze
Hypothesis	Hipoteza
I	I
I. M. Pei	Ieoh Ming Pei
IPod	IPod
Ian Fleming	Ian Fleming
Iapetus (moon)	Japet (księżyc)
Iapetus (mythology)	Japeton
Iberian Peninsula	Półwysep Iberyjski
Ibuprofen	Ibuprofen
Ice	Lód
Ice age	Epoka lodowa
Ice cream	Lody
Ice hockey	Hokej na lodzie
Ice hockey	Kategoria:Hokej na lodzie
Iceberg	Góra lodowa
Iceland	Islandia
Iceland	Kategoria:Islandia
Ichthyology	Ichtiologia
Icon	Ikona
Iconoclasm	Ikonoklazm
Idaho	Idaho
Idaho	Kategoria:Idaho
Ideal gas	Gaz doskonały
Idealism	Idealizm
Identity element	Element neutralny
Identity matrix	Macierz jednostkowa
Ideology	Ideologia
Ido	Ido
Igloo	Igloo
Ignatius of Loyola	Ignacy Loyola
Igneous rock	Skały magmowe
Igor Stravinsky	Igor Strawiński
Iguazu Falls	Wodospad Iguaçu
Iliad	Iliada
Illinois	Illinois
Illinois	Kategoria:Illinois
Illyria	Iliria
Image scanner	Skaner
Imam	Imam
Immanuel Kant	Immanuel Kant
Immune system	Układ odpornościowy
Immunology	Immunologia
Immunology	Kategoria:Immunologia
Imperialism	Imperializm
Impressionism	Impresjonizm
Incest	Kazirodztwo
Inch	Cal
Incheon	Inch'ŏn
Inclined plane	Równia pochyła
Independence	Niepodległość
India	Indie
India	Kategoria:Indie
Indian Ocean	Ocean Indyjski
Indian Ocean	Kategoria:Ocean Indyjski
Indiana	Indiana
Indiana	Kategoria:Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Ind
Indochina	Indochiny
Indonesia	Indonezja
Indonesia	Kategoria:Indonezja
Indra	Indra
Inductance	Indukcyjność
Inductive reasoning	Rozumowanie indukcyjne
Inductor	Cewka
Indulgence	Odpust
Indus (constellation)	Indianin (gwiazdozbiór)
Indus River	Indus (rzeka)
Industrial Revolution	Rewolucja przemysłowa
Industry	Przemysł (ekonomia)
Industry	Kategoria:Przemysł
Inequality	Nierówność
Inertia	Bezwładność
Infantry	Piechota
Infectious disease	Choroba zakaźna
Infinitive	Bezokolicznik
Infinity	Nieskończoność
Inflammation	Zapalenie
Inflation	Inflacja
Influenza	Grypa
Information	Informacja
Information technology	Technologia informacyjna
Information theory	Teoria informacji
Infrared	Podczerwień
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Inner Mongolia	Mongolia Wewnętrzna
Innovation	Innowacja
Innsbruck	Innsbruck
Inorganic chemistry	Chemia nieorganiczna
Inorganic chemistry	Kategoria:Chemia nieorganiczna
Inquisition	Inkwizycja
Insect	Owady
Insecticide	Insektycydy
Insectivora	Owadożerne
Insulin	Insulina
Insurance	Ubezpieczenie (ubezpieczenia)
Integer	Liczby całkowite
Integrated circuit	Układ scalony
Intellectual property	Prawo własności intelektualnej
Intelligence	Inteligencja (psychologia)
Intelligence quotient	Iloraz inteligencji
Intercontinental ballistic missile	Międzykontynentalny pocisk balistyczny
Interest	Odsetki
Interference	Interferencja
Interjection	Wykrzyknik (część mowy)
Interlingua	Interlingua
International Atomic Energy Agency	Międzynarodowa Agencja Energii Atomowej
International Civil Aviation Organization	Organizacja Międzynarodowego Lotnictwa Cywilnego
International Court of Justice	Międzynarodowy Trybunał Sprawiedliwości
International Date Line	Międzynarodowa linia zmiany daty
International Labour Organization	Międzynarodowa Organizacja Pracy
International Monetary Fund	Międzynarodowy Fundusz Walutowy
International System of Units	Układ SI
International law	Kategoria:Prawo międzynarodowe
International organization	Organizacja międzynarodowa
Internet	Internet
Internet	Kategoria:Internet
Internet Explorer	Internet Explorer
Internment	Obóz koncentracyjny
Interpreter (computing)	Interpreter
Intersection (set theory)	Przekrój zbiorów
Interval (music)	Interwał
Intestine	Jelito
Intranet	Intranet
Invention	Wynalazek
Invertebrate	Bezkręgowce
Io (moon)	Io (księżyc)
Io (mythology)	Io (nimfa)
Iodine	Jod
Ion	Jon
Ionia	Jonia
Ionian Sea	Morze Jońskie
Ionic bond	Wiązanie jonowe
Ionosphere	Jonosfera
Iota	Jota (litera)
Iowa	Iowa
Iowa	Kategoria:Iowa
Iran	Iran
Iran	Kategoria:Iran
Iran-Iraq War	Wojna iracko-irańska
Iraq	Irak
Iraq	Kategoria:Irak
Ireland	Irlandia (wyspa)
Ireland	Kategoria:Irlandia
Irenaeus	Ireneusz z Lyonu
Iridium	Iryd
Iris (anatomy)	Tęczówka
Iris (mythology)	Iris (mitologia)
Irish Republican Army	Irlandzka Armia Republikańska
Irish Sea	Morze Irlandzkie
Irish people	Kategoria:Irlandczycy
Iron	Żelazo
Iron Age	Epoka żelaza
Iron Curtain	Żelazna kurtyna
Iron Maiden	Iron Maiden
Irony	Ironia
Irrational number	Liczby niewymierne
Irredentism	Irredenta
Irtysh River	Irtysz
Isaac	Izaak (postać biblijna)
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Ishmael	Izmael (syn Abrahama)
Isis	Izyda
Islam	Islam
Islam	Kategoria:Islam
Islamabad	Islamabad
Islamic calendar	Kalendarz muzułmański
Island	Wyspa
Isle of Man	Wyspa Man
Isle of Man	Kategoria:Wyspa Man
Isle of Wight	Wight
Isomer	Izomeria
Isoroku Yamamoto	Isoroku Yamamoto
Isotope	Izotopy
Israel	Izrael
Israel	Kategoria:Izrael
Istanbul	Stambuł
Istanbul	Kategoria:Stambuł
Isthmus	Przesmyk
Isthmus of Panama	Przesmyk Panamski
