English	Swedish
Oviedo	Oviedo
Ovis	Får
Owl	Ugglor
Oxford	Oxford
Oxidation state	Oxidationstillstånd
Oxide	Oxider
Oxygen	Syre
Oxymoron	Självmotsägelse
Oxytocin	Oxytocin
Ozone	Ozon
Ozone layer	Ozonlagret
P	P
PAL	Phase Alternating Line
PH	PH
Pablo Neruda	Pablo Neruda
Pablo Picasso	Pablo Picasso
Pacific Ocean	Stilla havet
Pacific Ocean	Kategori:Stilla havet
Pacifism	Pacifism
Padua	Padua
Paganism	Paganism
Pakistan	Pakistan
Pakistan	Kategori:Pakistan
Palace of Versailles	Slottet i Versailles
Palau	Palau
Palau	Kategori:Palau
Paleocene	Paleocen
Paleolithic	Paleolitikum
Paleontology	Paleontologi
Paleontology	Kategori:Paleontologi
Paleozoic	Paleozoikum
Palermo	Palermo
Palestine	Palestina
Palestine	Kategori:Palestina
Palestine Liberation Organization	PLO
Palestinian National Authority	Palestinska myndigheten
Pali	Pali
Palindrome	Palindrom
Palladium	Palladium
Palm Sunday	Palmsöndagen
Palmyra	Palmyra
Pamir Mountains	Pamir
Pan (mythology)	Pan
Panama	Panama
Panama	Kategori:Panama
Panama Canal	Panamakanalen
Panama City	Panama City
Pancreas	Bukspottkörtel
Pandemic	Pandemi
Pandora	Pandora (mytologi)
Pangaea	Pangea
Pantheism	Panteism
Pantheon	Pantheon
Panthera	Panthera
Papal States	Kyrkostaten
Papua New Guinea	Papua Nya Guinea
Papua New Guinea	Kategori:Papua Nya Guinea
Papyrus	Papyrus
Parabola	Parabel (kurva)
Paracelsus	Paracelsus
Parachute	Fallskärm
Paradigm	Paradigm
Paradox	Paradox
Paragliding	Skärmflygning
Paraguay	Paraguay
Paraguay	Kategori:Paraguay
Parallax	Parallax
Parallelogram	Parallellogram
Paramaribo	Paramaribo
Paranoia	Paranoia
Paraphilia	Parafili
Parapsychology	Parapsykologi
Parasitism	Parasit
Parchment	Pergament
Paris	Paris
Paris	Kategori:Paris
Paris (mythology)	Paris (mytologi)
Parity (mathematics)	Jämna och udda tal
Parkinson's disease	Parkinsons sjukdom
Parliament	Parlament
Parmenides	Parmenides från Elea
Parody	Parodi
Parrot	Papegojfåglar
Parsec	Parsec
Parsley	Persilja
Parthenon	Parthenon
Parthia	Partien
Particle physics	Partikelfysik
Particle physics	Kategori:Partikelfysik
Parvati	Parvati
Pascal	Pascal
Pascal (programming language)	Pascal (programspråk)
Pascal (unit)	Pascal (måttenhet)
Passeriformes	Kategori:Tättingar
Passerine	Tättingar
Passover	Pesach
Passport	Pass
Password	Lösenord
Pasteurization	Pastörisering
Patagonia	Patagonien
Patent	Patent
Pathology	Patologi
Patras	Patras
Patriarch	Patriark (kyrkligt ämbete)
Patrick White	Patrick White
Patriotism	Patriotism
Paul Gauguin	Paul Gauguin
Paul Johann Ludwig von Heyse	Paul Johann Ludwig von Heyse
Paul Klee	Paul Klee
Paul McCartney	Paul McCartney
Paul Newman	Paul Newman
Paul Verlaine	Paul Verlaine
Paul the Apostle	Paulus
Paul von Hindenburg	Paul von Hindenburg
Pauli exclusion principle	Paulis uteslutningsprincip
Pavo (constellation)	Påfågeln
Pawn (chess)	Bonde (schack)
Pays de la Loire	Pays-de-la-Loire
Pea	Ärt
Peace	Fred
Peace of Westphalia	Westfaliska freden
Peach	Persika
Peafowl	Påfågel
Peanut	Jordnöt
Pear	Päronsläktet
Pearl	Pärla
Pearl Harbor	Pearl Harbor
Peat	Torv
Pedagogy	Pedagogik
Pedagogy	Kategori:Pedagogik
Pediatrics	Pediatrik
Pedophilia	Pedofili
Pedunculate Oak	Ek
Pegasus	Pegasos
Pegasus (constellation)	Pegasus (stjärnbild)
Peloponnese	Peloponnesos
Peloponnesian War	Peloponnesiska kriget
Pencil	Blyertspenna
Pendulum	Pendel
Penelope	Penelope
Penguin	Pingviner
Penicillin	Penicillin
Peninsula	Halvö
Pennsylvania	Pennsylvania
Pennsylvania	Kategori:Pennsylvania
Pentagon	Pentagon
Pentagram	Pentagram
Pentecost	Pingst
Pentecostalism	Pingströrelsen i Sverige
People	Kategori:Personer
People's Republic of China	Kina
Pepin the Short	Pippin den lille
Pepsi	Pepsi
Peptide	Peptid
Percentage	Procent
Perception	Perception
Perciformes	Abborrartade fiskar
Percussion instrument	Slagverk
Percy Bysshe Shelley	Percy Bysshe Shelley
Peregrine Falcon	Pilgrimsfalk
Perestroika	Perestrojka
Perfume	Parfym
Pericles	Perikles
Period (periodic table)	Periodiska systemets perioder
Periodic table	Periodiska systemet
Perm	Perm (stad)
Permafrost	Permafrost
Permian	Perm
Permutation	Permutation
Pernambuco	Pernambuco
Perpetual motion	Evighetsmaskin
Persephone	Persefone
Persepolis	Persepolis
Perseus	Perseus (mytologi)
Perseus (constellation)	Perseus (stjärnbild)
Persian Empire	Persiska riket
Persian Gulf	Persiska viken
Personal digital assistant	Handdator
Perth	Perth, Australien
Peru	Peru
Peru	Kategori:Peru
Pesticide	Bekämpningsmedel
Peter Abelard	Pierre Abélard
Peter Paul Rubens	Peter Paul Rubens
Peter Sellers	Peter Sellers
Petrarch	Francesco Petrarca
Petroleum	Petroleum
Petrology	Petrologi
Phanerozoic	Fanerozoikum
Pharaoh	Farao
Pharmacology	Farmakologi
Pharmacology	Kategori:Farmakologi
Pharynx	Svalg
Phase (matter)	Fas (termodynamik)
Phenol	Fenol
Phenomenology	Fenomenologi
Phenotype	Fenotyp
Phenylalanine	Fenylalanin
Phenylketonuria	Fenylketonuri
Phi (letter)	Fi
Philadelphia	Philadelphia
Philately	Filateli
Philately	Kategori:Filateli
Philip II of Macedon	Filip II av Makedonien
Philip II of Spain	Filip II av Spanien
Philipp Lenard	Philipp Lenard
Philippine Sea	Filippinska sjön
Philippines	Filippinerna
Philippines	Kategori:Filippinerna
Philology	Filologi
Philology	Kategori:Filologi
Philosopher's stone	De vises sten
Philosophy	Filosofi
Philosophy	Kategori:Filosofi
Philosophy	Portal:Filosofi
Phnom Penh	Phnom Penh
Phobia	Fobi
Phobos (moon)	Phobos (måne)
Phoenicia	Fenicien
Phoenix	Phoenix, Arizona
Phoenix	Phoenix
Phoenix (constellation)	Fenix (stjärnbild)
Phoenix (mythology)	Fenix
Phoenix (spacecraft)	Phoenix (rymdsond)
Phoneme	Fonem
Phonetics	Fonetik
Phonetics	Kategori:Fonetik
Phonology	Fonologi
Phosphate	Fosfat
Phosphoric acid	Fosforsyra
Phosphorus	Fosfor
Photography	Fotografi
Photography	Kategori:Fotografi
Photon	Foton
Photosphere	Fotosfär
Photosynthesis	Fotosyntes
Phylum	Stam (biologi)
Physical chemistry	Fysikalisk kemi
Physical chemistry	Kategori:Fysikalisk kemi
Physician	Läkare
Physics	Fysik
Physics	Kategori:Fysik
Physiology	Fysiologi
Physiology	Kategori:Fysiologi
Pi	Pi
Pi (letter)	Pi (bokstav)
Piano	Piano
Picardie	Picardie
Piciformes	Hackspettartade fåglar
Pictor	Målaren
Pidgin	Pidginspråk
Pidgin (software)	Pidgin (datorprogram)
Piedmont	Piemonte
Pierre	Pierre, South Dakota
Pierre Curie	Pierre Curie
Pierre de Fermat	Pierre de Fermat
Piet Mondrian	Piet Mondrian
Pieter Zeeman	Pieter Zeeman
Pigment	Pigment
Pilsen	Plzeň
Pinaceae	Tallväxter
Pindar	Pindaros
Pine	Tallsläktet
Pineapple	Ananas
Ping	Ping
Pink	Rosa (färg)
Pinniped	Sälar
Piracy	Pirat
Pisa	Pisa
Pisces (constellation)	Fiskarna (stjärnbild)
Piston	Kolv (maskindel)
Pittsburgh	Pittsburgh
Pituitary gland	Hypofys
Pixel	Pixel
Pizza	Pizza
Plagiarism	Plagiat
Planet	Planet
Planetary nebula	Planetarisk nebulosa
Plankton	Plankton
Plant	Växt
Plasma (physics)	Plasma
Plasmid	Plasmid
Plastic	Plast
Plate tectonics	Plattektonik
Platelet	Trombocyt
Platinum	Platina
Plato	Platon
Platypus	Näbbdjur
Playboy	Playboy
Playing card	Spelkort
Pleiades (star cluster)	Plejaderna
Pleistocene	Pleistocen
Pleven	Pleven
Pliny the Elder	Plinius den äldre
Pliny the Younger	Plinius den yngre
Pliocene	Pliocen
Plotinus	Plotinos
Plovdiv	Plovdiv
Plum	Plommon
Plutarch	Plutarkos
Pluto	Pluto
Pluto (disambiguation)	Pluto
Plutonium	Plutonium
Plymouth	Plymouth
Pneumonia	Lunginflammation
Po River	Po
Poaceae	Gräs
Podcast	Poddradio
Poetry	Poesi
Poetry	Kategori:Poesi
Pogrom	Pogrom
Poison	Gift
Poitiers	Poitiers
Poitou-Charentes	Poitou-Charentes
Poker	Poker
Poland	Polen
Poland	Kategori:Polen
Polar bear	Isbjörn
Polaris	Polstjärnan
Police	Polis
Poliomyelitis	Polio
Political party	Politiskt parti
Political science	Statsvetenskap
Political science	Kategori:Statsvetenskap
Politician	Politiker
Politics	Politik
Politics	Kategori:Politik
Pollen	Pollen
Pollination	Pollinering
Pollution	Miljöförstöring
Polo	Hästpolo
Polonium	Polonium
Polyethylene	Polyeten
Polygamy	Polygami
Polygon	Polygon
Polyhedron	Polyeder
Polyhymnia	Polyhymnia
Polymer	Polymer
Polynesia	Polynesien
Polynomial	Polynom
Polytheism	Polyteism
Polyvinyl chloride	Polyvinylklorid
Pomegranate	Granatäpple
Pomelo	Pomelo
Pompeii	Pompeji
Pompey	Pompejus
Pontius Pilate	Pontius Pilatus
Pop art	Popkonst
Pop music	Popmusik
Pope	Påve
Pope Alexander VI	Alexander VI
Poplar	Poppelsläktet
Population	Befolkning
Populism	Populism
Porcelain	Porslin
Pornography	Pornografi
Port	Hamn
Port Louis	Port Louis
Port Moresby	Port Moresby
Port Vila	Port Vila
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Portland	Portland, Oregon
Portland	Portland
Porto	Porto
Portrait	Porträtt
Portsmouth	Portsmouth
Portugal	Portugal
Portugal	Kategori:Portugal
Poseidon	Poseidon
Positron	Positron
Postage stamp	Frimärke
Postal code	Postnummer
Postmodernism	Postmodernism
Potassium	Kalium
Potassium nitrate	Kaliumnitrat
Potato	Potatis
Potential energy	Potentiell energi
Potsdam	Potsdam
Pound (mass)	Skålpund
Pound sterling	Brittiskt pund
Poverty	Fattigdom
Power (physics)	Effekt
Power station	Kraftverk
Praetor	Praetor
Prague	Prag
Prague	Kategori:Prag
Praia	Praia
Praseodymium	Praseodym
Prayer	Bön
Precambrian	Prekambrium
Precession	Precession
Precipitation (meteorology)	Nederbörd
Pregnancy	Graviditet
Prehistory	Förhistorisk tid
Prehistory	Kategori:Förhistoria
President	President
President of the United States	USA:s president
Pressure	Tryck
Pretoria	Pretoria
Priam	Priamos
Price	Pris
Priest	Präst
Primate	Primater
Primates	Kategori:Primater
Prime Meridian	Nollmeridian
Prime minister	Premiärminister
Prime number	Primtal
Prince Edward Island	Prince Edward Island
Prince Philip	Philip, hertig av Edinburgh
Prince of Wales	Prins av Wales
Princeton University	Princeton University
Principle of relativity	Relativitetsteori
Printing	Tryckteknik
Prion	Prion
Prism (geometry)	Prisma (geometri)
Prison	Anstalt
Prisoner of war	Krigsfånge
Prix Goncourt	Goncourtpriset
Probability	Sannolikhet
Probability theory	Sannolikhetsteori
Probability theory	Kategori:Sannolikhetsteori
Procyonidae	Halvbjörnar
Professor	Professor
Profit	Vinst
Programmer	Programmerare
Programming language	Programspråk
Progressive rock	Progressiv rock
Project	Projekt
Prokaryote	Prokaryoter
Prolog	Prolog
Prometheus	Prometheus
Promethium	Prometium
Pronoun	Pronomen
Propaganda	Propaganda
Propane	Propan
Prophet	Profet
Prose	Prosa
Prostate	Prostata
Protactinium	Protaktinium
Protectorate	Protektorat
Protein	Protein
Proterozoic	Proterozoikum
Protestant Reformation	Reformationen
Protestantism	Protestantism
Protist	Protister
Protista	Kategori:Protister
Protocol	Protokoll
Proton	Proton
Protozoa	Urdjur
Providence	Providence
Prunus	Prunusar
Prussia	Preussen
Psalms	Psaltaren
Pseudonym	Pseudonym
Pseudoscience	Kategori:Pseudovetenskap
Pseudoscience	Pseudovetenskap
Psi (letter)	Psi
Psoriasis	Psoriasis
Psychiatry	Psykiatri
Psychiatry	Kategori:Psykiatri
Psychoanalysis	Psykoanalys
Psychology	Psykologi
Psychology	Kategori:Psykologi
Psychosis	Psykos
Psychotherapy	Psykoterapi
Ptah	Ptah
Pterosaur	Flygödlor
Ptolemaic dynasty	Ptolemaiska dynastin
Ptolemy	Klaudios Ptolemaios
Puberty	Pubertet
Public domain	Public domain
Public relations	Public Relations
Puerto Rico	Puerto Rico
Puerto Rico	Kategori:Puerto Rico
Pula	Pula, Kroatien
Pulley	Block (enkel maskin)
Pulsar	Pulsar
Pump	Pump
Punctuation	Skiljetecken
Punjab (India)	Punjab
Punk	Kategori:Punk
Punk rock	Punk
Pupil	Pupill
Puppis	Akterskeppet
Pyongyang	Pyongyang
Pyramid	Pyramid
Pyramid (geometry)	Pyramid (geometri)
Pyrenees	Pyrenéerna
Pyrite	Pyrit
Pyrrhic victory	Pyrrhusseger
Pythagoras	Pythagoras
Python (programming language)	Python (programspråk)
Pyxis	Kompassen (stjärnbild)
Q	Q
Qatar	Qatar
Qatar	Kategori:Qatar
Qin Dynasty	Qin
Qing Dynasty	Qingdynastin
Quadratic equation	Andragradsekvation
Quadrilateral	Fyrhörning
Quaestor	Quaestor
Quantum field theory	Kvantfältteori
Quantum mechanics	Kvantmekanik
Quarantine	Karantän
Quark	Kvark
Quartz	Kvarts
Quasar	Kvasar
Quaternary	Kvartär
Quaternion	Kvaternion
Quebec	Québec
Quebec	Kategori:Quebec
Quebec City	Québec (stad)
Quechua	Quechua
Queens	Queens
Queensland	Queensland
Quentin Tarantino	Quentin Tarantino
Question mark	Frågetecken
Quetzalcoatl	Quetzalcóatl
Quince	Kvitten
Quito	Quito
R	R
RAF (disambiguation)	RAF
RAID	Raid
RNA	Ribonukleinsyra
Ra	Ra (mytologi)
Rabat	Rabat
Rabbi	Rabbin
Rabindranath Tagore	Rabindranath Tagore
Raccoon Dog	Mårdhund
Race	Människoraser
Rachel Carson	Rachel Carson
Racism	Rasism
Racism	Kategori:Rasism
Radar	Radar
Radian	Radian
Radio	Kategori:Radio
Radio telescope	Radioteleskop
Radioactive decay	Radioaktivitet
Radiocarbon dating	C14-metoden
Radiology	Radiologi
Radium	Radium
Radius	Radie
Radon	Radon
Rain	Regn
Rainbow	Regnbåge
Rainer Maria Rilke	Rainer Maria Rilke
Raleigh	Raleigh
Ralph Waldo Emerson	Ralph Waldo Emerson
Rama	Rama
Ramadan	Ramadan
Ramayana	Ramayana
Ramesses II	Ramses II
Random access memory	Random Access Memory
Ranunculaceae	Ranunkelväxter
Rape	Våldtäkt
Rapeseed	Raps
Raphael	Raffaello Sanzio
Raphael (archangel)	Rafael (ärkeängel)
Rapid transit	Kategori:Tunnelbanesystem
Raspberry	Hallon
Rat	Råttor
Rational number	Rationella tal
Ratite	Strutsfåglar
Ravenna	Ravenna
Rawalpindi	Rawalpindi
Ray Bradbury	Ray Bradbury
Read-only memory	ROM
Real number	Reella tal
Recife	Recife
Rectangle	Rektangel
Rectifier	Likriktare
Recursion	Rekursion
Recycling	Återvinning
Red	Röd
Red Army Faction	Röda armé-fraktionen
Red Deer	Kronhjort
Red Fox	Rödräv
Red Panda	Kattbjörn
Red Sea	Röda havet
Red algae	Rödalger
Red blood cell	Röd blodkropp
Red dwarf	Röd dvärg
Red giant	Röd jätte
Redshift	Rödförskjutning
Redshift (disambiguation)	Rödförskjutning
Reduced instruction set computer	RISC
Referendum	Folkomröstning
Refraction	Refraktion
Refractive index	Brytningsindex
Refugee	Flykting
Regent	Regent
Reggae	Reggae
Regiment	Regemente
Regina	Regina, Saskatchewan
Region	Region
Reims	Reims
Reincarnation	Själavandring
Reindeer	Ren
Relation (mathematics)	Relation
Relativism	Relativism
Relativity	Kategori:Relativitetsteori
Relay	Relä
Religion	Religion
Religion	Kategori:Religion
Religious Society of Friends	Kväkare
Rembrandt	Rembrandt
Renaissance	Renässansen
Renaissance	Kategori:Renässans
Reproduction	Fortplantning
Reptile	Kräldjur
Republic	Republik
Republic of China	Taiwan
Republic of Ireland	Irland
Republic of Ireland	Kategori:Irland
Republic of the Congo	Kongo-Brazzaville
Republic of the Congo	Kategori:Kongo-Brazzaville
Republican Party (United States)	Republikanska partiet
Requiem	Requiem
Resistor	Resistor
Respiratory system	Respirationssystemet
Restaurant	Restaurang
Reticulum	Rombiska nätet
Retina	Näthinna
Retinol	Retinol
Revolution	Revolution
Revolver	Revolver
Rhea (moon)	Rhea (måne)
Rhea (mythology)	Rhea
Rhenium	Rhenium
Rhetoric	Retorik
Rhetoric	Kategori:Retorik
Rhine	Rhen
Rhinoceros	Noshörningar
Rho (letter)	Rho
Rhode Island	Rhode Island
Rhode Island	Kategori:Rhode Island
Rhodes	Rhodos
Rhodium	Rodium
Rhombus	Romb
Rhyme	Rim
Rhythm	Rytm
Rhythm and blues	Rhythm and blues
Rib	Revben
Riboflavin	Riboflavin
Ribosome	Ribosom
Rice	Ris
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Strauss	Richard Strauss
Richard Wagner	Richard Wagner
Richard Wright (musician)	Richard Wright (musiker)
Richmond	Richmond, Virginia
Riga	Riga
Rigel	Rigel
Right ascension	Rektascension
Ring (mathematics)	Ring (matematik)
Ringo Starr	Ringo Starr
Rio Grande	Rio Grande
Rio de Janeiro	Rio de Janeiro
Rio de Janeiro (state)	Rio de Janeiro (delstat)
River	Flod
River Thames	Themsen
Riyadh	Riyadh
Road	Väg
Roald Amundsen	Roald Amundsen
Robert A. Heinlein	Robert A. Heinlein
Robert Andrews Millikan	Robert A. Millikan
Robert Boyle	Robert Boyle
Robert Burns	Robert Burns
Robert De Niro	Robert De Niro
Robert E. Lee	Robert E. Lee
Robert Falcon Scott	Robert Falcon Scott
Robert Hooke	Robert Hooke
Robert Koch	Robert Koch
Robert Louis Stevenson	Robert Louis Stevenson
Robert Oppenheimer	Robert Oppenheimer
Robert Owen	Robert Owen
Robert Redford	Robert Redford
Robert Schumann	Robert Schumann
Robin Hood	Robin Hood
Robot	Robot
Rock	Sten, sax, påse
Rock (geology)	Bergart
Rock and roll	Rock'n'roll
Rock music	Rockmusik
Rock music	Kategori:Rockmusik
Rocket	Raket
Rocky Mountains	Klippiga bergen
Rococo	Rokoko
Rodent	Gnagare
Roe Deer	Rådjur
Roentgenium	Röntgenium
Roger Bacon	Roger Bacon
Roman Catholic Church	Romersk-katolska kyrkan
Roman Empire	Romerska riket
Roman Republic	Romerska republiken
Roman calendar	Romerska kalendern
Roman law	Romersk rätt
Roman legion	Romersk legion
Roman mythology	Romersk mytologi
Roman mythology	Kategori:Romersk mytologi
Romania	Rumänien
Romania	Kategori:Rumänien
Romansh	Rätoromanska
Romanticism	Romantiken
Rome	Rom
Rome	Kategori:Rom
Ronald Reagan	Ronald Reagan
Roof	Yttertak
Rook (bird)	Råka
Rook (chess)	Torn (schack)
Roosevelt	Roosevelt
Root	Rot
Rosa Parks	Rosa Parks
Rosaceae	Rosväxter
Rosales	Rosales
Rosario	Rosario
Rosary	Radband
Rose	Rosor
Roseau	Roseau
Rosemary	Rosmarin
Rosetta Stone	Rosettastenen
Rosh Hashanah	Rosh hashana
Ross Sea	Rosshavet
Rostock	Rostock
Rotifer	Hjuldjur
Rotterdam	Rotterdam
Router	Router
Rowing (sport)	Rodd
Royal Air Force	Storbritanniens flygvapen
Royal Society	Royal Society
Rubber	Gummi
Rubicon	Rubicon
Rubidium	Rubidium
Ruble	Rubel
Rubus idaeus	Hallon
Ruby	Rubin
Ruby (programming language)	Ruby
Rudolf Diesel	Rudolf Diesel
Rudolf Hess	Rudolf Hess
Rudolf Steiner	Rudolf Steiner
Rudyard Kipling	Rudyard Kipling
Rugby football	Rugby
Rupert Murdoch	Rupert Murdoch
Russia	Ryssland
Russia	Kategori:Ryssland
Russian Revolution (1917)	Ryska revolutionen
Russo-Japanese War	Rysk-japanska kriget
Ruthenium	Rutenium
Rutherford B. Hayes	Rutherford B. Hayes
Rutherfordium	Rutherfordium
Rwanda	Rwanda
Rwanda	Kategori:Rwanda
Rye	Råg
S	S
SOAP	SOAP
SOS	SOS
Sacrament	Sakrament
Sacramento	Sacramento
Saddam Hussein	Saddam Hussein
Safari (web browser)	Safari (webbläsare)
Saffron	Saffran
Sagitta	Pilen
Sagittarius (constellation)	Skytten (stjärnbild)
Sahara	Sahara
Sail	Segel
Saint	Helgon
Saint Andrew	Andreas (apostel)
Saint George	Sankt Göran
Saint Kitts and Nevis	Saint Kitts och Nevis
Saint Kitts and Nevis	Kategori:Saint Christopher och Nevis
Saint Lawrence River	Saint Lawrencefloden
Saint Lucia	Saint Lucia
Saint Lucia	Kategori:Saint Lucia
Saint Martin	Saint Martin
Saint Nicholas	Nikolaus (helgon)
Saint Patrick	Patrick
Saint Paul	Saint Paul, Minnesota
Saint Peter	Petrus
Saint Petersburg	Sankt Petersburg
Saint Petersburg	Kategori:Sankt Petersburg
Saint Vincent and the Grenadines	Saint Vincent och Grenadinerna
Saint Vincent and the Grenadines	Kategori:Saint Vincent och Grenadinerna
Sake	Sake
Saladin	Saladin
Salah	Salah
Salamander	Stjärtgroddjur
Salem	Salem, Oregon
Salerno	Salerno
Saliva	Saliv
Salman Rushdie	Salman Rushdie
Salmonidae	Laxfiskar
Salt	Salt
Salt (chemistry)	Salter
Salt Lake City	Salt Lake City
Salvador	Salvador, Brasilien
Salzburg	Salzburg
Salzburg (state)	Salzburg (delstat)
Samara	Samara
Samarium	Samarium
Samarkand	Samarkand
Samoa	Samoa
Samoa	Kategori:Samoa
Samsara	Samsara
Samuel Beckett	Samuel Beckett
Samuel F. B. Morse	Samuel Morse
Samuel Taylor Coleridge	Samuel Taylor Coleridge
Samurai	Samuraj
San Antonio	San Antonio, Texas
San Diego	San Diego
San Francisco	San Francisco
San Jose	San Jose, Kalifornien
San Juan	San Juan, Puerto Rico
San Marino	San Marino
San Marino	Kategori:San Marino
San Marino	San Marino (stad)
San Salvador	San Salvador
Sand	Sand
Sandro Botticelli	Sandro Botticelli
Sandstone	Sandsten
Sandwich	Sandwich
Sanskrit	Sanskrit
Santa Claus	Jultomten
Santa Fe	Santa Fe, New Mexico
Santiago	Santiago de Chile
Santiago	Santiago (olika betydelser)
Santiago de Cuba	Santiago de Cuba
Santo Domingo	Santo Domingo
Santos (Săo Paulo)	Santos, São Paulo
Sapphire	Safir
Sappho	Sapfo
Sapporo	Sapporo
Sarah Bernhardt	Sarah Bernhardt
Sarajevo	Sarajevo
Saratov	Saratov
Sarcophagus	Sarkofag
Sardine	Sardin
Sardinia	Sardinien
Sari	Sari (stad)
Sarin	Sarin
Saskatchewan	Saskatchewan
Satan	Satan
Satanism	Satanism
Satellite	Satellit
Satire	Satir
Saturday	Lördag
Saturn	Saturnus
Saturn	Kategori:Saturnus
Saturn (disambiguation)	Saturnus (olika betydelser)
Saturn (mythology)	Saturnus (mytologi)
Satyr	Satyrer
Sauce	Sås
Saudi Arabia	Saudiarabien
Saudi Arabia	Kategori:Saudiarabien
Saul Bellow	Saul Bellow
Sausage	Korv
Savanna	Savann
Saxony	Sachsen
Saxony	Kategori:Sachsen
Saxophone	Saxofon
Scandinavia	Skandinavien
Scandinavia	Kategori:Skandinavien
Scandinavian Peninsula	Skandinaviska halvön
Scandium	Skandium
Scapula	Skulderblad
Scheldt	Schelde
Scheme (programming language)	Scheme
Schizophrenia	Schizofreni
Scholasticism	Skolastik
School	Skola
Schutzstaffel	Schutzstaffeln
Science	Naturvetenskap
Science	Kategori:Vetenskap
Science fiction	Science fiction
Science fiction	Kategori:Science fiction
Scientific method	Vetenskaplig metod
Scientist	Vetenskapsman
Scientology	Scientologi
Scipio Africanus	Scipio Africanus
Scissors	Sax
Sciuridae	Ekorrfamiljen
Scorpion	Skorpioner
Scorpius	Skorpionen (stjärnbild)
Scotland	Skottland
Scotland	Kategori:Skottland
Scots Pine	Tall
Scottish Gaelic	Skotsk gäliska
Scouting	Scouting
Scrabble	Scrabble
Screw	Skruv
Screwdriver	Skruvmejsel
Scrotum	Scrotum
Sculptor (constellation)	Bildhuggaren
Sculpture	Skulptur
Sculpture	Kategori:Skulptur
Sea	Hav
Sea Otter	Havsutter
Sea anemone	Anemoner
Sea cucumber	Sjögurkor
Sea level	Havsyta
Sea of Azov	Azovska sjön
Sea of Japan	Japanska havet
Sea of Marmara	Marmarasjön
Sea of Okhotsk	Ochotska havet
Sea urchin	Sjöborrar
Seaborgium	Seaborgium
Seahorse	Sjöhästar
Search engine	Söktjänst
Sears Tower	Sears Tower
Season	Säsong
Seattle	Seattle
Second	Sekund
Second Crusade	Andra korståget
Second Vatican Council	Andra Vatikankonciliet
Second law of thermodynamics	Entropiprincipen
Sect	Sekt
Security	Kategori:Säkerhet
Sedimentary rock	Sedimentär bergart
Seed	Frö
Segovia	Segovia
Seine	Seine
Seismology	Seismologi
Seismology	Kategori:Seismologi
Selene	Selene
Selenium	Selen
Seleucus I Nicator	Seleukos I
Semantics	Semantik
Semantics	Kategori:Semantik
Semen	Sädesvätska
Semicolon	Semikolon
Semiconductor	Halvledare
Semiotics	Semiotik
Senegal	Senegal
Senegal	Kategori:Senegal
Seoul	Seoul
Seppuku	Seppuku
September	September
September 11	11 september
September 11	11 september-attackerna
September 17	17 september
September 29	29 september
Septuagint	Septuaginta
Sequence	Följd
Serbia	Serbien
Serbia	Kategori:Serbien
Serbia and Montenegro	Serbien och Montenegro
Serbia and Montenegro	Kategori:Serbien och Montenegro
Serfdom	Livegenskap
Sergei Eisenstein	Sergej Eisenstein
Sergei Rachmaninoff	Sergej Rachmaninov
Series (mathematics)	Serie (matematik)
Serine	Serin
Serotonin	Serotonin
Serpens	Ormen (stjärnbild)
Server (computing)	Värddator
Set	Mängd
Set (mythology)	Set (gud)
Set theory	Mängdteori
Set theory	Kategori:Mängdteori
Sevastopol	Sevastopol
Seven Years' War	Sjuårskriget
Severe acute respiratory syndrome	Sars (sjukdom)
Seville	Sevilla
Sex	Kön
Sex organ	Könsorgan
Sexism	Sexism
Sextant	Sextant
Sexual intercourse	Samlag
Sexuality	Kategori:Sexualitet
Sexually transmitted disease	Sexuellt överförbar infektion
Seychelles	Seychellerna
Seychelles	Kategori:Seychellerna
Shah	Shah
Shahadah	Shahadah
Shamanism	Schamanism
Shanghai	Shanghai
Share (finance)	Aktie
Shareware	Utvärderingsprogram
Sharia	Sharia
Shark	Hajar
Sheffield	Sheffield
Sherlock Holmes	Sherlock Holmes
Shetland	Shetlandsöarna
Shield	Sköld
Shikoku	Shikoku
Shinto	Shinto
Ship	Fartyg
Shiva	Shiva
Shogi	Shogi
Shogun	Shogun
Shorthand	Stenografi
Shrimp	Räkor
Shrub	Buske
Siberia	Sibirien
Siberian Husky	Siberian husky
Sichuan	Sichuan
Sicily	Sicilien
Sicily	Kategori:Sicilien
Siemens (unit)	Siemens (enhet)
Sierra Leone	Sierra Leone
Sierra Leone	Kategori:Sierra Leone
Sigma	Sigma
Sigmund Freud	Sigmund Freud
Sign language	Teckenspråk
Sigrid Undset	Sigrid Undset
Sikhism	Sikhism
Sikkim	Sikkim
Silesia	Schlesien
Silicon	Kisel
Silicon Valley	Silicon Valley
Silicon dioxide	Kiseldioxid
Silk	Silke
Silk Road	Sidenvägen
Silurian	Silur
Silver	Silver
Simone de Beauvoir	Simone de Beauvoir
Sin	Synd
Sinai Peninsula	Sinaihalvön
Sinclair Lewis	Sinclair Lewis
Singapore	Singapore
Singapore	Kategori:Singapore
Single (music)	Singelskiva
Siren	Sirener
Sirenia	Sirendjur
Sirius	Sirius
Sistine Chapel	Sixtinska kapellet
Sisyphus	Sisyfos
Sitting Bull	Sitting Bull
