Czech	English
Plavání	Swimming
Kategorie:Plavání	Swimming
Švýcarský frank	Swiss franc
Kategorie:Švýcaři	Swiss people
Švýcarsko	Switzerland
Kategorie:Švýcarsko	Switzerland
Meč	Sword
Sydney	Sydney
Slabika	Syllable
Sylvia Plath	Sylvia Plath
Symbióza	Symbiosis
Symbol	Symbol
Symfonie	Symphony
Symptom	Symptom
Synagoga	Synagogue
Synestezie	Synesthesia
Synonymum	Synonym
Syntax	Syntax
Syntezátor	Synthesizer
Syfilis	Syphilis
Siracusa	Syracuse
Sýrie	Syria
Kategorie:Sýrie	Syria
Systém	System
Systematika (biologie)	Systematics
T	T
Thomas Edward Lawrence	T. E. Lawrence
Thomas Stearns Eliot	T. S. Eliot
Stůl	Table (furniture)
Stolní tenis	Table tennis
Tabu	Taboo
Tacitus	Tacitus
Taekwondo	Taekwondo
Tajo	Tagus
Tahiti	Tahiti
Tchaj-ťi	Tai chi chuan
Ocas	Tail
Tchaj-pej	Taipei
Kategorie:Tchaj-wan	Taiwan
Tchaj-wan (ostrov)	Taiwan
Tádž Mahal	Taj Mahal
Tádžikistán	Tajikistan
Kategorie:Tádžikistán	Tajikistan
Mastek	Talc
Tálibán	Taliban
Tallahassee	Tallahassee
Tallinn	Tallinn
Talmud	Talmud
Tamilnádu	Tamil Nadu
Tampa	Tampa
Tampere	Tampere
Tanach	Tanakh
Dynastie Tchang	Tang Dynasty
Tanger	Tangier
Argentinské tango	Tango (dance)
Tank	Tank
Tantal	Tantalum
Tantalos	Tantalus
Tanzanie	Tanzania
Kategorie:Tanzanie	Tanzania
Taoismus	Taoism
Tapírovití	Tapir
Želvušky	Tardigrade
Pelyněk estragon	Tarragon
Tartaros	Tartarus
Tartu	Tartu
Taškent	Tashkent
Tasmánie	Tasmania
Ďábel medvědovitý	Tasmanian Devil
Chuť	Taste
Souhvězdí Býka	Taurus (constellation)
Puštík obecný	Tawny Owl
Daň	Tax
Kategorie:Daně	Taxation
Taxi	Taxicab
Taxon	Taxon
Taxonomie	Taxonomy
Tis červený	Taxus baccata
Tbilisi	Tbilisi
Čaj	Tea
Kategorie:Čaj	Tea
Učitel	Teacher
Technecium	Technetium
Techno	Techno
Technologie	Technology
Kategorie:Technologie	Technology
Tegucigalpa	Tegucigalpa
Teherán	Tehran
Tel Aviv	Tel Aviv
Telekomunikace	Telecommunication
Telegrafie	Telegraphy
Telepatie	Telepathy
Telefon	Telephone
Dalekohled	Telescope
Souhvězdí Dalekohledu	Telescopium
Televizor	Television
Kategorie:Televize	Television
Tellur	Tellurium
Teplota	Temperature
Chrám	Temple
Artemidin chrám v Efesu	Temple of Artemis
Desatero	Ten Commandments
Tenerife	Tenerife
Tennessee	Tennessee
Kategorie:Tennessee	Tennessee
Tennessee Williams	Tennessee Williams
Tenis	Tennis
Kategorie:Tenis	Tennis
Tenor	Tenor
Tenzing Norgay	Tenzing Norgay
Tequila	Tequila
Terbium	Terbium
Termiti	Termite
Terpsichoré	Terpsichore
Terestrická planeta	Terrestrial planet
Terorismus	Terrorism
Kategorie:Terorismus	Terrorism
Tertullianus	Tertullian
Tesla	Tesla (unit)
Varle	Testicle
Testosteron	Testosterone
Tetanus	Tetanus
Tethys (měsíc)	Tethys (moon)
Téthys	Tethys (mythology)
Čtyřstěn	Tetrahedron
Tetrahydrocannabinol	Tetrahydrocannabinol
Čtyřnožci	Tetrapod
Texas	Texas
Kategorie:Texas	Texas
Textil	Textile
Thajsko	Thailand
Kategorie:Thajsko	Thailand
Thalés z Milétu	Thales
Thaleia	Thalia
Thallium	Thallium
Thanatos	Thanatos
Gambie	The Gambia
Kategorie:Gambie	The Gambia
Haag	The Hague
Hymna USA	The Star-Spangled Banner
Divadlo	Theatre
Kategorie:Divadlo	Theatre
Thebe (měsíc)	Thebe (moon)
Théby	Thebes
Veset	Thebes
Theia	Theia
Themis	Themis
Themistoklés	Themistocles
Teokracie	Theocracy
Teodolit	Theodolite
Theodor Mommsen	Theodor Mommsen
Theodore Roosevelt	Theodore Roosevelt
Theodosius I.	Theodosius I
Teologie	Theology
Kategorie:Teologie	Theology
Matematická věta	Theorem
Teorie	Theory
Teorie relativity	Theory of relativity
Théraváda	Theravada
Termodynamika	Thermodynamics
Kategorie:Termodynamika	Thermodynamics
Teploměr	Thermometer
Théseus	Theseus
Soluň	Thessaloniki
Thesálie	Thessaly
Thetis	Thetis
Thiamin	Thiamine
Think tank	Think tank
Třetí křížová výprava	Third Crusade
Třicetiletá válka	Thirty Years' War
Tomáš Akvinský	Thomas Aquinas
Thomas Alva Edison	Thomas Edison
Thomas Hardy	Thomas Hardy
Thomas Hobbes	Thomas Hobbes
Thomas Jefferson	Thomas Jefferson
Thomas Robert Malthus	Thomas Malthus
Thomas Mann	Thomas Mann
Thomas More	Thomas More
Thomas Paine	Thomas Paine
Thomas Young	Thomas Young (scientist)
Thór	Thor
Thorium	Thorium
Thovt	Thoth
Thrákie	Thrace
Thúkýdidés	Thucydides
Thulium	Thulium
Palec	Thumb
Durynsko	Thuringia
Kategorie:Durynsko	Thuringia
Čtvrtek	Thursday
Vakovlk	Thylacine
Thymin	Thymine
Štítná žláza	Thyroid
Tchien-ťin	Tianjin
Tibera	Tiber
Tiberius	Tiberius
Tibet	Tibet
Kategorie:Tibet	Tibet
Ticino (kanton)	Ticino
Slapové jevy	Tide
Ohňová země	Tierra del Fuego
Tygr džunglový	Tiger
Tigris	Tigris
Lípa (rod)	Tilia
Timbuktu	Timbuktu
Čas	Time
Kategorie:Čas	Time
Time	Time (magazine)
Časové pásmo	Time zone
Tamerlán	Timur
Cín	Tin
Tirana	Tirana
Tkáň	Tissue (biology)
Sýkorovití	Tit (bird)
Titan	Titan (disambiguation)
Titan (měsíc)	Titan (moon)
Titáni	Titan (mythology)
Titania (měsíc)	Titania (moon)
Titan (prvek)	Titanium
Tizian	Titian
Titus	Titus
Tabák	Tobacco
Tokoferol	Tocopherol
Tofu	Tofu
Togo	Togo
Kategorie:Togo	Togo
Tokio	Tokyo
Toledo (Španělsko)	Toledo
Toluen	Toluene
Tom Hanks	Tom Hanks
Tom a Jerry	Tom and Jerry
Rajče jedlé	Tomato
Tonga	Tonga
Kategorie:Tonga	Tonga
Jazyk (orgán)	Tongue
Toni Morrisonová	Toni Morrison
Tony Blair	Tony Blair
Nástroj	Tool
Zub	Tooth
Zubní kartáček	Toothbrush
Topaz	Topaz
Topeka	Topeka
Topologie	Topology
Kategorie:Topologie	Topology
Tóra	Torah
Tornádo	Tornado
Toronto	Toronto
Torpédo	Torpedo
Kroutící moment	Torque
Želva zelenavá	Tortoise
Mučení	Torture
Torus	Torus
Totalita	Totalitarianism
Toulon	Toulon
Toulouse	Toulouse
Tour de France	Tour de France
Cestovní ruch	Tourism
Kategorie:Turistika	Tourism
Tours	Tours
Věž	Tower
Babylonská věž	Tower of Babel
Tower	Tower of London
Město	Town
Jed	Toxicity
Toxikologie	Toxicology
Hračka	Toy
Toyota	Toyota
Traktor	Tractor
odbory	Trade union
Ochranná známka	Trademark
Tradice	Tradition
Tragédie	Tragedy
Vlak	Train
Železniční stanice	Train station
Traianus	Trajan
Tramvaj	Tram
Transcendentní číslo	Transcendental number
Transformátor	Transformer
Tranzistor	Transistor
Transliterace	Transliteration
TCP	Transmission Control Protocol
Kategorie:Doprava	Transportation
Sedmihradsko	Transylvania
Lichoběžník	Trapezoid
Mezinárodní smlouva	Treaty
Versailleská smlouva	Treaty of Versailles
Strom	Tree
Trento	Trento
Trojúhelník	Triangle
Souhvězdí Trojúhelníku	Triangulum
Souhvězdí Jižního trojúhelníku	Triangulum Australe
Trias	Triassic
Přítok	Tributary
Triceratops	Triceratops
Trevír	Trier
Goniometrická funkce	Trigonometric function
Trigonometrie	Trigonometry
Kategorie:Goniometrie	Trigonometry
Trilogie	Trilogy
Trinidad	Trinidad
Trinidad a Tobago	Trinidad and Tobago
Kategorie:Trinidad a Tobago	Trinidad and Tobago
Trinitrotoluen	Trinitrotoluene
Nejsvětější Trojice	Trinity
Tripolis	Tripoli
Triskelion	Triskelion
Tritium	Tritium
Triton (měsíc)	Triton (moon)
Vítězný oblouk	Triumphal arch
Trojský kůň	Trojan Horse
Trojská válka	Trojan War
Trojský kůň (program)	Trojan horse (computing)
Troll (severská mytologie)	Troll
Trolejbus	Trolleybus
Pozoun	Trombone
Trondheim	Trondheim
Obratník Raka	Tropic of Cancer
Obratník Kozoroha	Tropic of Capricorn
Tropický podnebný pás	Tropics
Troposféra	Troposphere
Trockismus	Trotskyism
Trója	Troy
Kamion	Truck
Trumanova doktrína	Truman Doctrine
Trubka	Trumpet
Pravda	Truth
Trygve Lie	Trygve Lie
Tryptofan	Tryptophan
Car	Tsar
Tsunami	Tsunami
Tuaregové	Tuareg
Tuba	Tuba
Lanýž	Tuber (genus)
Tuberkulóza	Tuberculosis
Souhvězdí Tukana	Tucana
Tucson	Tucson
Úterý	Tuesday
Tulipán	Tulip
Nádor	Tumor
Tundra	Tundra
Wolfram	Tungsten
Pláštěnci	Tunicate
Tunis	Tunis
Tunisko	Tunisia
Kategorie:Tunisko	Tunisia
Tunel	Tunnel
Turbína	Turbine
Turín	Turin
Turingův stroj	Turing machine
Turecko	Turkey
Kategorie:Turecko	Turkey
Turkmenistán	Turkmenistan
Kategorie:Turkmenistán	Turkmenistan
Kurkuma	Turmeric
Želvy	Turtle
Toskánsko	Tuscany
Tuvalu	Tuvalu
Kategorie:Tuvalu	Tuvalu
Tux	Tux
Tycho Brahe	Tycho Brahe
Psací stroj	Typewriter
Týfón	Typhon
Typografie	Typography
Kategorie:Typografie	Typography
Tyrannosaurus	Tyrannosaurus
Týros	Tyre
Tyrolsko	Tyrol (state)
Tyrhénské moře	Tyrrhenian Sea
U	U
UNESCO	UNESCO
Ufa	Ufa
Uganda	Uganda
Kategorie:Uganda	Uganda
Ukrajina	Ukraine
Kategorie:Ukrajina	Ukraine
Ulánbátar	Ulan Bator
Ulster	Ulster
Ultrazvuk	Ultrasound
Ultrafialové záření	Ultraviolet
Ulysses Simpson Grant	Ulysses S. Grant
Deštník	Umbrella
Umbrie	Umbria
Princip neurčitosti	Uncertainty principle
Nezaměstnanost	Unemployment
Jednorožec	Unicorn
UFO	Unidentified flying object
Uniform Resource Locator	Uniform Resource Locator
Sjednocení	Union (set theory)
Spojené arabské emiráty	United Arab Emirates
Kategorie:Spojené arabské emiráty	United Arab Emirates
Sjednocená arabská republika	United Arab Republic
Spojené království	United Kingdom
Kategorie:Spojené království	United Kingdom
Organizace spojených národů	United Nations
Kategorie:OSN	United Nations
UNICEF	United Nations Children's Fund
Spojené státy americké	United States
Kategorie:Spojené státy americké	United States
Letectvo Spojených států	United States Air Force
Kongres Spojených států amerických	United States Congress
Ústava Spojených států amerických	United States Constitution
Námořnictvo Spojených států	United States Navy
Senát Spojených států amerických	United States Senate
Americké Panenské ostrovy	United States Virgin Islands
Americký dolar	United States dollar
Vesmír	Universe
Univerzita	University
University of Chicago	University of Chicago
University of Pennsylvania	University of Pennsylvania
Unix	Unix
Kategorie:Unix	Unix
Ununbium	Ununbium
Ununhexium	Ununhexium
Ununpentium	Ununpentium
Ununquadium	Ununquadium
Ununtrium	Ununtrium
Upanišady	Upanishad
Uppsala	Uppsala
Ur	Ur
Uracil	Uracil
Ural	Ural Mountains
Úrania	Urania
Uran (prvek)	Uranium
Uran (planeta)	Uranus
Kategorie:Uran	Uranus
Uranos	Uranus (mythology)
Urdština	Urdu
Močovina	Urea
Moč	Urine
Souhvězdí Velké medvědice	Ursa Major
Souhvězdí Malého medvěda	Ursa Minor
Uruguay	Uruguay
Kategorie:Uruguay	Uruguay
Utah	Utah
Kategorie:Utah	Utah
Děloha	Uterus
Utilitarismus	Utilitarianism
Utrecht	Utrecht (city)
Utrecht (provincie)	Utrecht (province)
Uttarpradéš	Uttar Pradesh
Uzbekistán	Uzbekistan
Kategorie:Uzbekistán	Uzbekistan
V	V
Vakcína	Vaccine
Vakuola	Vacuole
Vakuum	Vacuum
Elektronka	Vacuum tube
Vaduz	Vaduz
Pochva	Vagina
Valence (město)	Valence
Valencia	Valencia
Valentina Těreškovová	Valentina Tereshkova
Valhalla	Valhalla
Valkýra	Valkyrie
Valletta	Valletta
Údolí (geomorfologie)	Valley
Upír (nemrtvý)	Vampire
Vanad	Vanadium
Vancouver	Vancouver
Vancouver (ostrov)	Vancouver Island
Vandalismus	Vandalism
Vanové	Vanir
Vanuatu	Vanuatu
Kategorie:Vanuatu	Vanuatu
Rozptyl (statistika)	Variance
Varna	Varna
Cévnaté rostliny	Vascular plant
Vatikán	Vatican City
Kategorie:Vatikán	Vatican City
Vektor	Vector (spatial)
Vega	Vega
Zelenina	Vegetable
Vegetariánství	Vegetarianism
Souhvězdí Plachet	Vela (constellation)
Velociraptor	Velociraptor
Rychlost	Velocity
Benátsko	Veneto
Venezuela	Venezuela
Kategorie:Venezuela	Venezuela
Benátky	Venice
Venuše (planeta)	Venus
Venuše	Venus (disambiguation)
Venuše (mytologie)	Venus (mythology)
Sloveso	Verb
Vermont	Vermont
Kategorie:Vermont	Vermont
Verona	Verona
Versailles (město)	Versailles
Obratel	Vertebra
Páteř	Vertebral column
Obratlovci	Vertebrate
Vespasianus	Vespasian
Vesta (mytologie)	Vesta (mythology)
Veto	Veto
Viceprezident Spojených států amerických	Vice President of the United States
Vichy	Vichy
Victor Hugo	Victor Hugo
Victoria (Seychely)	Victoria
Victoria (Britská Kolumbie)	Victoria
Victoria	Victoria
Victoria (australský stát)	Victoria (Australia)
Viktoriiny vodopády	Victoria Falls
Video	Video
Počítačová hra	Video game
Vídeň	Vienna
Kategorie:Vídeň	Vienna
Vientiane	Vientiane
Vietnam	Vietnam
Kategorie:Vietnam	Vietnam
Válka ve Vietnamu	Vietnam War
Kategorie:Válka ve Vietnamu	Vietnam War
Vikingové	Viking
Vilfredo Pareto	Vilfredo Pareto
Vesnice	Village
Vilnius	Vilnius
Vincent van Gogh	Vincent van Gogh
Vincenzo Bellini	Vincenzo Bellini
Viola	Viola
Násilí	Violence
Housle	Violin
Publius Vergilius Maro	Virgil
Panenské ostrovy	Virgin Islands
Virginie	Virginia
Kategorie:Virginie	Virginia
Virginia Woolfová	Virginia Woolf
Panna	Virginity
Souhvězdí Panny	Virgo (constellation)
Virtuální paměť	Virtual memory
Virtuální realita	Virtual reality
Ctnost	Virtue
Virus	Virus
Viskozita	Viscosity
Višnu	Vishnu
Visla	Vistula
Vitamín	Vitamin
Vitamín A	Vitamin A
Vitamín B6	Vitamin B6
Vitamín C	Vitamin C
Kalciferol	Vitamin D
Vitamín K	Vitamin K
Vittorio de Sica	Vittorio De Sica
Vitus Bering	Vitus Bering
Vivien Leigh	Vivien Leigh
Vladimir Iljič Lenin	Vladimir Lenin
Vladimir Vladimirovič Nabokov	Vladimir Nabokov
Vladimir Putin	Vladimir Putin
Vladivostok	Vladivostok
Vokativ	Vocative case
Vodka	Vodka
Souhvězdí Létající ryby	Volans
Sopka	Volcano
Kategorie:Vulkanologie	Volcanology
Vulkanologie	Volcanology
Volha	Volga River
Volgograd	Volgograd
Volejbal	Volleyball
Kategorie:Volejbal	Volleyball
Volt	Volt
Elektrické napětí	Voltage
Voltaire	Voltaire
Objem	Volume
Zvracení	Vomiting
Voodoo	Voodoo
Samohláska	Vowel
Vulcanus (mytologie)	Vulcan (mythology)
Vulgární latina	Vulgar Latin
Vulgata	Vulgate
Souhvězdí Lištičky	Vulpecula
Vulva	Vulva
W	W
William Somerset Maugham	W. Somerset Maugham
WYSIWYG	WYSIWYG
Wahhábismus	Wahhabism
Wake (ostrov)	Wake Island
Wales	Wales
Kategorie:Wales	Wales
Mrož lední	Walrus
Walt Disney	Walt Disney
Walt Whitman	Walt Whitman
Walter Gropius	Walter Gropius
Walter Scott	Walter Scott
Válka	War
Kategorie:Válka	War
Válečné zločiny	War crime
Války o dědictví španělské	War of the Spanish Succession
Války růží	Wars of the Roses
Varšava	Warsaw
Bradavice	Wart
Pračka	Washing machine
Washington, D.C.	Washington
Washington (stát)	Washington
Kategorie:Washington	Washington
Washington	Washington (disambiguation)
Vasilij Kandinskij	Wassily Kandinsky
Odpad	Waste
Voda	Water
Kategorie:Voda	Water
Vodní pólo	Water polo
Vodopád	Waterfall
Aféra Watergate	Watergate scandal
Watt	Watt
Watthodina	Watt-hour
Vlnová délka	Wavelength
Vosk	Wax
Slabá interakce	Weak interaction
Zbraň	Weapon
Počasí	Weather
Webový prohlížeč	Web browser
Webová kamera	Webcam
Weber (jednotka)	Weber (unit)
Website	Website
Středa	Wednesday
Týden	Week
Váha	Weight
Vzpírání	Weightlifting
Výmar	Weimar
Výmarská republika	Weimar Republic
Sváření	Welding
Wellington (Nový Zéland)	Wellington
Vlkodlak	Werewolf
Wernher von Braun	Wernher von Braun
Vezera	Weser River
Západ	West
Západní Afrika	West Africa
Západní břeh Jordánu	West Bank
Západní Bengálsko	West Bengal
Západní Berlín	West Berlin
Západní Německo	West Germany
Západní Virginie	West Virginia
Kategorie:Západní Virginie	West Virginia
Západní Austrálie	Western Australia
Západořímská říše	Western Roman Empire
Západní Sahara	Western Sahara
Kategorie:Západní Sahara	Western Sahara
Westminsterské opatství	Westminster Abbey
Velryba	Whale
Pšenice	Wheat
Kolo	Wheel
Whisky	Whisky
Bílý dům	White House
Bílé moře	White Sea
Bílá krvinka	White blood cell
Bílý trpaslík	White dwarf
Whitehorse (Yukon)	Whitehorse
Wicca	Wicca
Wide Area Network	Wide area network
Wiesbaden	Wiesbaden
Kočka divoká	Wildcat
Závěť	Will (law)
William Blake	William Blake
William Butler Yeats	William Butler Yeats
William Faulkner	William Faulkner
William Golding	William Golding
William Harvey	William Harvey
William Henry Harrison	William Henry Harrison
William Herschel	William Herschel
William Howard Taft	William Howard Taft
Vilém I. Pruský	William I
Vilém II. Pruský	William II
William James	William James
William McKinley	William McKinley
William Rowan Hamilton	William Rowan Hamilton
William Shakespeare	William Shakespeare
William Bradford Shockley	William Shockley
William Wordsworth	William Wordsworth
William Ockham	William of Ockham
Vrba	Willow
Willy Brandt	Willy Brandt
Dechový nástroj	Wind instrument
Větrná energie	Wind power
Windhoek	Windhoek
Větrný mlýn	Windmill
Okno	Window
Víno	Wine
Kategorie:Víno	Wine
Winnipeg	Winnipeg
Winston Churchill	Winston Churchill
Zima	Winter
Zimní olympijské hry	Winter Olympic Games
Kategorie:Zimní olympijské hry	Winter Olympic Games
Wisconsin	Wisconsin
Kategorie:Wisconsin	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Wolfgang Pauli	Wolfgang Pauli
Žena	Woman
Dřevo	Wood
Woodrow Wilson	Woodrow Wilson
Dřevěný nástroj	Woodwind instrument
Woody Allen	Woody Allen
Slovo (lingvistika)	Word
Textový procesor	Word processor
Svět	World
Skupina Světové banky	World Bank
Světová zdravotnická organizace	World Health Organization
Světová meteorologická organizace	World Meteorological Organization
World Trade Center	World Trade Center
Světová obchodní organizace	World Trade Organization
První světová válka	World War I
Kategorie:První světová válka	World War I
Druhá světová válka	World War II
Kategorie:Druhá světová válka	World War II
World Wide Web	World Wide Web
Kategorie:World Wide Web	World Wide Web
Světová válka	World war
Červ	Worm
Červí díra	Wormhole
Seznam písem (podle skupin)	Writing system
Wyoming	Wyoming
Kategorie:Wyoming	Wyoming
X	X
Rentgenové záření	X-ray
Chudozubí	Xenarthra
Xenon	Xenon
Xenofanés	Xenophanes
Xenofobie	Xenophobia
Xenofón	Xenophon
Sin-ťiang	Xinjiang
Xylofón	Xylophone
Y	Y
JHVH	Yahweh
Jak divoký	Yak
Jakuza	Yakuza
Yale University	Yale University
Jalta	Yalta
Jaltská konference	Yalta Conference
Rangún	Yangon
Jang-c'-ťiang	Yangtze River
Yard	Yard
Jásir Arafat	Yasser Arafat
Rok	Year
Kvasinky	Yeast
Žlutá	Yellow
Žlutá řeka	Yellow River
Žluté moře	Yellow Sea
Yellowstonský národní park	Yellowstone National Park
Jemen	Yemen
Kategorie:Jemen	Yemen
Jenisej	Yenisei River
Jerevan	Yerevan
Yetti	Yeti
Yggdrasil	Yggdrasil
Jojo	Yo-yo
Jóga	Yoga
Jogurt	Yoghurt
Yoko Ono	Yoko Ono
Jokohama	Yokohama
Jom kipur	Yom Kippur
Jomkipurská válka	Yom Kippur War
York	York
Ytterbium	Ytterbium
Yttrium	Yttrium
Dynastie Jüan	Yuan Dynasty
Jugoslávie	Yugoslavia
Kategorie:Jugoslávie	Yugoslavia
Yukon	Yukon
Jün-nan	Yunnan
Jurij Gagarin	Yuri Gagarin
Z	Z
Zachary Taylor	Zachary Taylor
Záhřeb	Zagreb
Zambezi	Zambezi
Zambie	Zambia
Kategorie:Zambie	Zambia
Zanzibar	Zanzibar
Zaragoza	Zaragoza
Sjælland	Zealand
Zebra	Zebra
Zen	Zen
Zenit	Zenith
Zenon	Zeno (emperor)
Zénón z Kitia	Zeno of Citium
Zénón z Eleje	Zeno of Elea
Zeus	Zeus
Zeus	Zeus (disambiguation)
Zikkurat	Ziggurat
Zimbabwe	Zimbabwe
Kategorie:Zimbabwe	Zimbabwe
Zinek	Zinc
Sionismus	Zionism
Zirkonium	Zirconium
Zvěrokruh	Zodiac
Zombie	Zombie
Zoologická zahrada	Zoo
Zoologie	Zoology
Kategorie:Zoologie	Zoology
Zarathuštra	Zoroaster
Zoroastrismus	Zoroastrianism
